Tensao_entrada (V),Resistencia_Trimpot (Ω),DDP (mV)
3.3,970.06,0
3.3,969.96,0.085
3.3,969.86,0.17
3.3,969.761,0.255
3.3,969.661,0.34
3.3,969.560,0.424
3.3,969.462,0.509
3.3,969.363,0.594
3.3,969.262,0.679
3.3,969.161,0.763
3.3,969.063,0.850
3.3,968.961,0.935
3.3,968.862,1.019
3.3,968.763,1.104
3.3,968.562,1.275
3.3,968.463,1.359
3.3,968.363,1.444
3.3,968.264,1.529
3.3,968.162,1.616
3.3,968.064,1.699
3.3,967.964,1.784
3.3,967.862,1.871
3.3,967.765,1.954
3.3,967.665,02.04
3.3,967.565,2.125
3.3,967.463,2.24
3.3,967.362,2.298
3.3,967.266,2.38
3.3,967.163,2.466
3.3,967.066,2.55
3.3,966.995,2.636
3.3,966.866,2.721
3.3,966.767,2.806
3.3,966.667,2.891
3.3,966.565,2.979
3.3,966.466,3.062
3.3,966.367,3.146
3.3,966.268,3.232
3.3,966.168,3.317
3.3,965.968,3.487
3.3,965.868,3.573
3.3,965.769,3.658
3.3,965.699,3.743
3.3,965.569,3.828
3.3,965.469,3.914
3.3,965.369,3.999
3.3,965.27,4.084
3.3,965.17,4.169
3.3,965.07,4.255
3.3,964.97,4.34
5,970.06,0
5,969.96,"0,129"
5,969.86,"0,257"
5,969.761,"0,367"
5,969.661,"0,515"
5,969.561,"0,643"
5,969.461,"0,772"
5,969.361,"0,901"
5,969.262,1.029
5,969.162,1.158
5,969.062,1.287
5,968.962,1.415
5,968.862,1.544
5,968.763,1.673
5,968.663,1.802
5,968.563,1.93
5,968.463,2.059
5,968.363,2.188
5,968.264,2.317
5,968.164,2.446
5,968.064,2.575
5,967.964,2.704
5,967.864,2.882
5,967.765,2.961
5,967.665,"3,09"
5,967.565,"3,219"
5,967.465,"3,348"
5,967.365,"3,477"
5,967.266,"3,606"
5,967.166,"3,735"
5,967.066,"3,864"
5,966.966,"3,993"
5,966.866,"4,122"
5,966.767,"4,251"
5,966.667,"4,38"
5,966.567,"4,509"
5,966.467,"4,638"
5,966.367,"4,767"
5,966.268,"4,896"
5,966.168,"5,025"
5,966.068,"5,155"
5,965.968,"5,284"
5,965.868,"5,413"
5,965.769,"5,542"
5,965.669,"5,671"
5,965.569,"5,8"
5,965.469,"5,93"
5,965.369,"6,059"
5,965.27,"6,188"
5,965.17,"6,317"
"9,00",970.06,0
"9,00",969.96,"0,231"
"9,00",969.86,"0,463"
"9,00",969.761,"0,695"
"9,00",969.661,"0,926"
"9,00",969.561,"1,158"
"9,00",969.461,"1,389"
"9,00",969.361,"1,621"
"9,00",969.262,"1,853"
"9,00",969.162,"2,084"
"9,00",969.062,"2,316"
"9,00",968.962,"2,548"
"9,00",968.862,"2,779"
"9,00",968.763,"3,011"
"9,00",968.663,"3,243"
"9,00",968.563,"3,475"
"9,00",968.463,"3,707"
"9,00",968.363,"3,939"
"9,00",968.264,"4,171"
"9,00",968.164,"4,402"
"9,00",968.064,"4,634"
"9,00",967.964,"4,866"
"9,00",967.864,"5,098"
"9,00",967.765,"5,33"
"9,00",967.665,"5,562"
"9,00",967.565,"5,794"
"9,00",967.465,"6,027"
"9,00",967.365,"6,259"
"9,00",967.266,"6,491"
"9,00",967.166,"6,723"
"9,00",967.066,"6,955"
"9,00",966.966,"7,187"
"9,00",966.866,"7,42"
"9,00",966.767,"7,652"
"9,00",966.667,"7,884"
"9,00",966.567,"8,116"
"9,00",966.467,"8,349"
"9,00",966.367,"8,581"
"9,00",966.268,"8,813"
"9,00",966.168,"9,046"
"9,00",966.068,"9,278"
"9,00",965.968,"9,511"
"9,00",965.868,"9,743"
"9,00",965.769,"9,976"
"9,00",965.669,"10,208"
"9,00",965.569,"10,441"
"9,00",965.469,"10,553"
"9,00",965.369,"10,906"
"9,00",965.27,"11,139"
"9,00",965.17,"11,371"
"9,00",965.07,"11,604"
